p	err
0.	1.7293837840748834
0.01	1.7298233662706408
0.02	1.7302631724363249
0.03	1.7307032027431504
0.04	1.7311434573625066
0.05	1.7315839364659575
0.06	1.7320246402252426
0.07	1.7324655688122759
0.08	1.7329067223991477
0.09	1.7333481011581227
0.1	1.7337897052616424
0.11	1.734231534882325
0.12	1.7346735901929637
0.13	1.7351158713665293
0.14	1.7355583785761683
0.15	1.7360011119952061
0.16	1.736444071797143
0.17	1.736887258155659
0.18	1.7373306712446102
0.19	1.7377743112380308
0.2	1.7382181783101347
0.21	1.738662272635312
0.22	1.7391065943881334
0.23	1.7395511437433464
0.24	1.73999592087588
0.25	1.7404409259608402
0.26	1.7408861591735136
0.27	1.7413316206893672
0.28	1.7417773106840466
0.29	1.7422232293333786
0.3	1.7426693768133703
0.31	1.743115753300209
0.32	1.7435623589702633
0.33	1.7440091940000837
0.34	1.7444562585664003
0.35000000000000003	1.7449035528461265
0.36	1.7453510770163565
0.37	1.7457988312543673
0.38	1.7462468157376179
0.39	1.7466950306437494
0.4	1.7471434761505864
0.41000000000000003	1.7475921524361364
0.42	1.7480410596785898
0.43	1.748490198056321
0.44	1.7489395677478876
0.45	1.7493891689320316
0.46	1.7498390017876786
0.47000000000000003	1.75028906649394
0.48	1.7507393632301096
0.49	1.7511898921756683
0.5	1.7516406535102815
0.51	1.752091647413799
0.52	1.7525428740662579
0.53	1.75299433364788
0.54	1.7534460263390732
0.55	1.7538979523204328
0.56	1.7543501117727391
0.5700000000000001	1.7548025048769609
0.58	1.7552551318142529
0.59	1.7557079927659576
0.6	1.756161087913605
0.61	1.7566144174389127
0.62	1.757067981523787
0.63	1.7575217803503214
0.64	1.757975814100799
0.65	1.758430082957691
0.66	1.758884587103658
0.67	1.7593393267215498
0.68	1.7597943019944056
0.6900000000000001	1.760249513105454
0.7000000000000001	1.7607049602381144
0.71	1.7611606435759959
0.72	1.7616165633028984
0.73	1.7620727196028123
0.74	1.7625291126599187
0.75	1.7629857426585915
0.76	1.7634426097833933
0.77	1.763899714219081
0.78	1.7643570561506026
0.79	1.764814635763098
0.8	1.7652724532419
0.81	1.7657305087725335
0.8200000000000001	1.7661888025407175
0.8300000000000001	1.7666473347323635
0.84	1.7671061055335762
0.85	1.7675651151306546
0.86	1.7680243637100919
0.87	1.7684838514585748
0.88	1.768943578562985
0.89	1.7694035452103989
0.9	1.7698637515880873
0.91	1.7703241978835178
0.92	1.7707848842843517
0.93	1.7712458109784468
0.9400000000000001	1.7717069781538575
0.9500000000000001	1.7721683859988338
0.96	1.772630034701822
0.97	1.7730919244514665
0.98	1.773554055436607
0.99	1.7740164278462816
1.	1.774479041869726
